,Name,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Min Temperature,Wind Speed
0,Nikolskoye,98,RU,1574558362,85,59.7,30.79,18.0,14.0,4.47
1,Rikitea,78,PF,1574558399,66,-23.12,-134.97,71.96,71.96,7.34
2,Darhan,0,MN,1574558659,84,49.49,105.92,-10.23,-10.23,8.79
3,Hermanus,0,ZA,1574558660,88,-34.42,19.24,59.0,59.0,3.0
4,Aklavik,20,CA,1574558660,84,68.22,-135.01,5.0,-5.8,12.75
5,Sirmaur,100,IN,1574558660,50,24.84,81.37,66.67,66.67,3.27
6,Atuona,26,PF,1574558660,76,-9.8,-139.03,79.86,79.86,14.41
7,San Joaquin,19,PH,1574558660,75,10.59,122.14,81.63,81.63,9.57
8,Fairbanks,90,US,1574558661,92,64.84,-147.72,23.0,21.0,2.75
9,Taraz,90,KZ,1574558661,100,42.89,71.39,30.99,30.2,2.24
10,Ponta do Sol,72,BR,1574558661,87,-20.63,-46.0,68.7,68.7,3.53
11,Mattru,76,SL,1574558661,91,7.62,-11.83,76.66,76.66,2.91
12,Niquero,28,CU,1574558661,80,20.04,-77.58,72.05,72.05,3.47
13,Pankrushikha,100,RU,1574558662,93,53.83,80.35,4.48,4.48,9.08
14,Pangai,75,TO,1574558662,57,-19.8,-174.35,78.8,78.8,8.05
15,Tuktoyaktuk,90,CA,1574558662,84,69.44,-133.03,8.6,8.6,5.82
16,Punta Arenas,75,CL,1574558662,81,-53.16,-70.91,50.0,50.0,6.93
17,Port Alfred,45,ZA,1574558663,85,-33.59,26.89,64.0,64.0,1.99
18,Torbay,5,CA,1574558663,93,47.66,-52.73,36.0,34.0,12.75
19,Port Elizabeth,90,US,1574558663,86,39.31,-74.98,46.99,37.0,4.7
20,Kapitan Ramon,6,PH,1574558663,80,10.77,123.13,82.87,82.87,15.5
21,Faanui,68,PF,1574558663,78,-16.48,-151.75,81.34,81.34,14.29
22,Sioux Lookout,90,CA,1574558664,80,50.1,-91.92,33.8,33.8,10.29
23,Jamestown,0,AU,1574558392,22,-33.21,138.6,74.01,74.01,8.43
24,Georgetown,40,GY,1574558409,83,6.8,-58.16,82.4,77.0,6.93
25,Hithadhoo,77,MV,1574558665,80,-0.6,73.08,82.35,82.35,13.65
